,id,name,date,text,location
0,1153815829038845953,Redroadmaster,Tue Jul 23 23:55:05 +0000 2019,"Key Commodities
WTI Crude Oil+0.9% at 56.72 bbl  $USO
Gold -0.3% to 1422.00 $XAU  $GLD
Copper -0.7% to 2.70 lb  $CU

Key Currencies
$EURUSD -0.5% to 1.1149
$GBPUSD -0.3% to 1.2439
$USDCNH Unch at 6.8832
$USDJPY +0.3% at 108.25",Kuala Lumpur 
1,1153815824605384704,macrohedged,Tue Jul 23 23:55:04 +0000 2019,"Here are the #Volatility levels for the majors at the Asian open on Wednesday. Stay lucky peeps!: https://t.co/o6RpAv7VkT 
 
 #ES_F $SPY $SPX #6E_F #CL_F #OOTT #GBPUSD $VIX #bonds $GOLD $AGS",England
2,1153815229874094081,rgwlive,Tue Jul 23 23:52:42 +0000 2019,07/23/19 - View today's #MarketOutlook from @Market_Scholars here: https://t.co/7FSt7bzWYg Discussed: $SPY $IWM $DIA $QQQ $EEM $GLD $USO $UUP $SPX $TLT $TNX $VIX  $EWW $EWA $XLF $XLK $XLB $KO $XLRE $XLU $TAP,
3,1153814566393880577,macrohedged,Tue Jul 23 23:50:04 +0000 2019,"Good morning Asia, here are the benchmark futures prices going into the open on Wednesday: https://t.co/aAyLdhRprl 
 
 #ES_F $SPY $SPX #6E_F #CL_F #OOTT #GBPUSD $VIX #bonds $GOLD $AGS",England
4,1153814195562938368,DebraRo91758510,Tue Jul 23 23:48:35 +0000 2019,"$JPM on USD
PB calls Intl Clients to reduce exposure from 80% to 40%
Deficits, debt, China, history of currencies &amp; flow of CB reserves.
“We believe the USD could become vulnerable to a loss of value relative to a more diversified basket of currencies, including gold”
$GLD #USD https://t.co/ITGxuZOlvK","Melbourne, Victoria"
5,1153813906420203523,TweetsMillenia,Tue Jul 23 23:47:26 +0000 2019,"$JPM on USD
PB calls Intl Clients to reduce exposure from 80% to 40%
Deficits, debt, China, history of currencies &amp; flow of CB reserves.
“We believe the USD could become vulnerable to a loss of value relative to a more diversified basket of currencies, including gold”
$GLD #USD https://t.co/ITGxuZOlvK","San Jose, Costa Rica"
6,1153813446497955845,GridUnder,Tue Jul 23 23:45:37 +0000 2019,"$NXXGF $NXS.v  

Nexus Gold Enters LOI to Acquire Multi-Project West African Gold Portfolio. https://t.co/nTmIGrrPSU

$MGMA $TTCM $ARREF $FFMGF $SIML $BMIX $VSTR $STKXF $LMRMF $PBEC $SLV $GOLD $AUY $MUX $KGC $NEM $GLD $GDX $PCTL $AZZ.v $DUST $GDX

#Stocks #Gold #Pennystocks https://t.co/Pjt3gdfRiz",United States
7,1153813353539592192,options_income,Tue Jul 23 23:45:14 +0000 2019,"Black Hole in Global Banking is Being Exposed….Does This Fed Data Fail to Include Shadow/Gray Banking Risks? &gt; https://t.co/JRCVLyXAx5

$SPY $GLD $SLV $BND $XLF #SP500 #gold #silver #stockstotrade #deutschebank",USA
8,1153813234614296578,newsomenuggets,Tue Jul 23 23:44:46 +0000 2019,"Newest Weekly Options Newsletter = https://t.co/IvhTY1aGHu

TOTALLY FREE edition thanks to the OPEN  HOUSE at RLT. Looking to buy $GLD on a pull back.","Nashville, TN"
9,1153813116997607431,nztas,Tue Jul 23 23:44:18 +0000 2019,07/23/19 - View today's #MarketOutlook from @Market_Scholars here: https://t.co/7FSt7bzWYg Discussed: $SPY $IWM $DIA $QQQ $EEM $GLD $USO $UUP $SPX $TLT $TNX $VIX  $EWW $EWA $XLF $XLK $XLB $KO $XLRE $XLU $TAP,
10,1153812196515700736,davidmoadel,Tue Jul 23 23:40:39 +0000 2019,10 Market Bubbles Just Waiting to Pop https://t.co/bv8n0QWPE2 $SLV $GLD $QQQ $DJIA $DIA $SPY #stockmarket #commodities #investing #finance #stocks #gold #silver $FB $TWTR $AAPL $AMZN $TSLA $INTC $AMD $NFLX,USA
11,1153812033105584128,HodgsonMargy,Tue Jul 23 23:40:00 +0000 2019,07/23/19 - View today's #MarketOutlook from @Market_Scholars here: https://t.co/7FSt7bzWYg Discussed: $SPY $IWM $DIA $QQQ $EEM $GLD $USO $UUP $SPX $TLT $TNX $VIX  $EWW $EWA $XLF $XLK $XLB $KO $XLRE $XLU $TAP,"Dunwoody, GA"
12,1153811786753171456,ElCryptoChief,Tue Jul 23 23:39:01 +0000 2019,"Gold | $GOLD | $XAU $USD

Is Gold trading in a descending triangle?

Long or short it on WCX: https://t.co/2kfJ8dG4jH https://t.co/CWaqsXnMfN","Madrid, Spain"
13,1153811575834173440,atwal_manjit,Tue Jul 23 23:38:11 +0000 2019,"$GOLD &amp; $SILVER daily
Both are at support here now. Gold is still backtesting my triangle (could argue indecisive candle today) and silver is backtesting a double bottom.
USD has broken out of an inverse h&amp;s but gold and silver does not seem to care so far. https://t.co/ayJTEPAE9k",
14,1153811344707031040,davidmoadel,Tue Jul 23 23:37:16 +0000 2019,$GOOGL Expect Strong #Earnings Results for #Google -- my article for @investorplace https://t.co/eiOL7JCQnK $GOOG $SLV $GLD $QQQ $DJIA $DIA $SPY #stockmarket #commodities #investing #finance #stocks #gold #silver $FB $TWTR $AAPL $AMZN $TSLA $INTC $AMD $NFLX #earningsseason,USA
15,1153811013742972928,davidmoadel,Tue Jul 23 23:35:57 +0000 2019,$ACB It's the number of the devil. Run!        $CRON $CGC $WEED $TLRY $APHA $HEMP $MJNA #stockmarket #stocks #investing #cannabis #cbd #marijuana #potstocks #marijuanastocks #cannabisstocks $SPY $QQQ $DIA $IWM $DJIA $GLD $AAPL $AMZN $TSLA $TWTR $NFLX $MU $NIO $SLV https://t.co/T52vL7yPCY,USA
16,1153810581876424710,cryptologist341,Tue Jul 23 23:34:14 +0000 2019,"$NXXGF $NXS.v  

Nexus Gold Enters LOI to Acquire Multi-Project West African Gold Portfolio. https://t.co/nTmIGrrPSU

$MGMA $TTCM $ARREF $FFMGF $SIML $BMIX $VSTR $STKXF $LMRMF $PBEC $SLV $GOLD $AUY $MUX $KGC $NEM $GLD $GDX $PCTL $AZZ.v $DUST $GDX

#Stocks #Gold #Pennystocks https://t.co/Pjt3gdfRiz",United States 
17,1153810581356367875,StartBitcoinOK,Tue Jul 23 23:34:14 +0000 2019,Salt Lake Potash new tenements will de-risk Lake Way Sulphate of Potash Project #Bitcoin #Btc #Cryptocurrency #finance #forex #markets #fx $BTC $Gold ➡️ https://t.co/EFRPSYUkrk,
18,1153810375655059466,TalkMarkets,Tue Jul 23 23:33:24 +0000 2019,Gold Pennant: Will It Supersize The Rally? $GDX $GLD $SLV https://t.co/D3T1Dh6a3E,
19,1153808620951240704,midous56,Tue Jul 23 23:26:26 +0000 2019,"|GLDbugger app| #GLD change today (23-Jul-2019): -2.05t (-0.25%), inventory now: 823.13t",
20,1153808455280414722,TalkMarkets,Tue Jul 23 23:25:47 +0000 2019,Gold Prices Continue To Exhibit Strength Despite The US Dollar Breakout $GLD https://t.co/DVHKYWJAFt,
21,1153808383109038080,MasterMetals,Tue Jul 23 23:25:29 +0000 2019,#Gold: streetTRACKS Gold Shares ETF (GLD) $GLD dropped by 0.5653%! last at 133.69 #MasterMetals https://t.co/bFg7y6uP5b https://t.co/fRR3golq3o,Global
22,1153808061972148224,fracchio_,Tue Jul 23 23:24:13 +0000 2019,"$GOLD &amp; $SILVER daily
Both are at support here now. Gold is still backtesting my triangle (could argue indecisive candle today) and silver is backtesting a double bottom.
USD has broken out of an inverse h&amp;s but gold and silver does not seem to care so far. https://t.co/ayJTEPAE9k",
23,1153807676725321739,davidmoadel,Tue Jul 23 23:22:41 +0000 2019,Why Does Warren Buffett Hate Gold So Much? -- My guest appearance on the @ArcadiaEconomic roundtable https://t.co/KMJSFPxMCz #gold #silver #commodities #investing #finance $SPY $GLD $GDX $GDXJ $NUGT $JNUG $JDST $DUST $SLV $QQQ $DIA $DJIA $IWM $TLT $AAPL $AMZN $NLFX $TWTR $TSLA $F,USA
24,1153807435116625925,clair520,Tue Jul 23 23:21:43 +0000 2019,07/23/19 - View today's #MarketOutlook from @Market_Scholars here: https://t.co/7FSt7bzWYg Discussed: $SPY $IWM $DIA $QQQ $EEM $GLD $USO $UUP $SPX $TLT $TNX $VIX  $EWW $EWA $XLF $XLK $XLB $KO $XLRE $XLU $TAP,"Atlanta, GA"
25,1153807388480176138,argentofisico,Tue Jul 23 23:21:32 +0000 2019,"$GOLD &amp; $SILVER daily
Both are at support here now. Gold is still backtesting my triangle (could argue indecisive candle today) and silver is backtesting a double bottom.
USD has broken out of an inverse h&amp;s but gold and silver does not seem to care so far. https://t.co/ayJTEPAE9k",in giro
26,1153807319139942401,davidmoadel,Tue Jul 23 23:21:16 +0000 2019,2019 Market Action Points To Positive Long-Term Outcomes https://t.co/jNhAPffMPT $SLV $GLD $QQQ $DJIA $DIA $SPY #stockmarket #commodities #investing #finance #stocks #gold #silver $FB $TWTR $AAPL $AMZN $TSLA $INTC $AMD $NFLX,USA
27,1153807162986004480,davidmoadel,Tue Jul 23 23:20:39 +0000 2019,$TLT Pushing On A String: Why Rate Cuts Won't Matter https://t.co/WEhPTYUdtD $SLV $GLD $QQQ $DJIA $DIA $SPY #stockmarket #commodities #investing #finance #stocks #gold #silver $FB $TWTR $AAPL $AMZN $TSLA $INTC $AMD $NFLX,USA
28,1153806924019748865,davidmoadel,Tue Jul 23 23:19:42 +0000 2019,#Tesla's Model S sales decline in California as Model 3 gains - WSJ https://t.co/TiKjJMLxLi $SLV $GLD $QQQ $DJIA $DIA $SPY #stockmarket #commodities #investing #finance #stocks #gold #silver $FB $TWTR $AAPL $AMZN $TSLA $INTC $AMD $NFLX,USA
29,1153806310716010497,pc3244,Tue Jul 23 23:17:15 +0000 2019,"#Gold And Snowflakes Before The Avalanche: Something 's Broken, Something Unspoken: ""After a $354 Billion U.S. Bailout, Germany’s Deutsche Bank Still Has $49 Trillion in Derivatives."" https://t.co/7anwnqPDHe 

$GLD $GDX $DB $GS $SLV https://t.co/oA2NTYOg9a",united states
30,1153805562410258433,burningfiat,Tue Jul 23 23:14:17 +0000 2019,"|GLDbugger app| #GLD change today (23-Jul-2019): -2.05t (-0.25%), inventory now: 823.13t",
31,1153805312928862213,yarrs,Tue Jul 23 23:13:17 +0000 2019,"Did you know #WarrenBuffett was once one of the world's largest #Silver owners? 

https://t.co/4ld0Rb0mbq 

#investing #stockmarket #gold #preciousmetals #stocks #silvermanipulation $SLV $GLD","Denver, CO"
32,1153804972724649984,1Cecilia1967,Tue Jul 23 23:11:56 +0000 2019,"lets talk $GOLD and Jim Rickards 2012 $7000 Gold call 

high was 1790-1526 low - 2012 
10 to 20% of ur portfolio 
its 2019 - price is 1417

even if it goes to 7000

pick any high quality stock portfolio $JNJ $MCD $AMZN $GOOG $PG $AAPL $DIS $WMT $JPM 

why do u listen to this guy",D.R. & S.A.
33,1153804562110619649,StartBitcoinOK,Tue Jul 23 23:10:18 +0000 2019,Corazon Mining identifies priority geophysical targets at Mt Gilmore #Bitcoin #Btc #Cryptocurrency #finance #forex #markets #fx $BTC $Gold ➡️ https://t.co/eVHc1C5J2r,
34,1153804236347469824,trader_blitz,Tue Jul 23 23:09:01 +0000 2019,"Gold | $GOLD | $XAU $USD

GOLD - Broken Bull Pennant resistance retesting as new suppo...

Long or short it on WCX: https://t.co/GfNsxNWMAy https://t.co/rN8DKqZuZ8",Singapore
35,1153802124418961408,TheGoldForecast,Tue Jul 23 23:00:37 +0000 2019,Article: Gold Closes Fractionally Lower as Silver Continues to Rally https://t.co/swM6bd7sau $GLD $GDX $XAUUSD $NUGT $SLV $SPY https://t.co/xs8SmxPeQu,"Honolulu, HI"
36,1153799903031615488,SemiBull,Tue Jul 23 22:51:48 +0000 2019,"Gold could be creating a bearish reversal pattern at old highs this week at (2),
as momentum is the highest since 2011. $GLD $SLV $GDX $DXY $EURUSD https://t.co/hzaV3n87ot",Taipei
37,1153799771938705410,permabear_uk,Tue Jul 23 22:51:16 +0000 2019,"Closing chart: $gold stands at $1421.70. A cooling wave to the 1380/70s appears a threat. If correct, the related miners are going to follow to some degree. The m/t outlook remains bullish, with soft target of psy'1500. https://t.co/gmWGQLbDXe","London, UK"
38,1153799192332029953,permabear_uk,Tue Jul 23 22:48:58 +0000 2019,"Barrick Gold $GOLD currently +9.6% at $17.29. Any cooling wave ahead of rate cut'1 is to be seen as such. M/t bullish, soft target the 2016 high of $22.82. To yours truly... the finest of the world's gold miners. https://t.co/RFQepf85MM","London, UK"
39,1153798681348341761,equi_noctis,Tue Jul 23 22:46:56 +0000 2019,"Derivatives ""nuclear financial bombs"" - WMD on the Wall Street  

Deutsche Bank - 49 trillion U.S. dollars - according to its 2018 annual report. JPMorgan Chase - $48 trillion
Citigroup -  $47 trillion
Goldman Sachs - $42 trillion

https://t.co/brqPmTvLHS $DB #ECB #Gold $GLD https://t.co/HVjbd2sGi8",
40,1153798489463115776,TeresaTrades,Tue Jul 23 22:46:11 +0000 2019,$SPY $QQQ $VXX $GDX $EEM $EFA $GLD $IWM $XOP $SLV $EWZ $HYG $XLF $FXI $UVXY $NUGT $SMH $TLT $USO $XLU $DIA $XBI Most active ETF options https://t.co/yKTjtMuzV7,"Alaska, USA"
41,1153797470100475910,forexgoldtrades,Tue Jul 23 22:42:08 +0000 2019,#gold found support at the crucial level of $1413-$1415 on Tuesday with the low @$1414. Still needs a close below $1413 to see a move lower but a further pullback into the end of the month possible #xauusd #gold #gld #gdx https://t.co/F4GNJTMLv9,
42,1153795527768592384,MisterRayW,Tue Jul 23 22:34:24 +0000 2019,07/23/19 - View today's #MarketOutlook from @Market_Scholars here: https://t.co/7FSt7bzWYg Discussed: $SPY $IWM $DIA $QQQ $EEM $GLD $USO $UUP $SPX $TLT $TNX $VIX  $EWW $EWA $XLF $XLK $XLB $KO $XLRE $XLU $TAP,
43,1153795382180114440,Beverlyb11,Tue Jul 23 22:33:50 +0000 2019,"Derivatives ""nuclear financial bombs"" - WMD on the Wall Street  

Deutsche Bank - 49 trillion U.S. dollars - according to its 2018 annual report. JPMorgan Chase - $48 trillion
Citigroup -  $47 trillion
Goldman Sachs - $42 trillion

https://t.co/brqPmTvLHS $DB #ECB #Gold $GLD https://t.co/4hym6ej1z1","Colorado, USA"
44,1153794401644105730,permabear_uk,Tue Jul 23 22:29:56 +0000 2019,"Barrick Gold $GOLD settled -5cents to $17.29. I'm dismissive of the hollow red candle, and lean s/t bearish with the broader sector. Note the subtle tick lower in daily price momentum.  The more cautious will be waiting for some kind of cooling with $gold $silver https://t.co/8skxMvhz88","London, UK"
45,1153794214087368704,Gambiste1,Tue Jul 23 22:29:11 +0000 2019,"Inflation may be creeping higher after all 

https://t.co/Msa0SFdFRY  $GLD $SLV $GDXJ $GDX $PALL $LIT $FAN $TAN $BKH $MDU $STR $CNP $DUK $XEL $PNM $MJ $ACT $MEDA $HMLSF $DAX $TVIX $VIX https://t.co/gzEADkcWFF",
46,1153794047628046340,TEEELAZER,Tue Jul 23 22:28:32 +0000 2019,"$GLD #GOLD 
If up trend breaks down, then 1402 magnet 
4H https://t.co/Nfl33NiSV5","OC California, USA"
47,1153793911640297473,natgastrading,Tue Jul 23 22:27:59 +0000 2019,"Black Hole in Global Banking is Being Exposed….Does This Fed Data Fail to Include Shadow/Gray Banking Risks? &gt; https://t.co/d4L7NFxv0Q

$SPY $GLD $SLV $BND $XLF #SP500 #gold #silver #stockstotrade #banks",USA
48,1153793728311484416,DoubleEagle49,Tue Jul 23 22:27:15 +0000 2019,"$GOLD &amp; $SILVER daily
Both are at support here now. Gold is still backtesting my triangle (could argue indecisive candle today) and silver is backtesting a double bottom.
USD has broken out of an inverse h&amp;s but gold and silver does not seem to care so far. https://t.co/ayJTEPAE9k",U.S.A. 
49,1153793434857005058,bagger_10,Tue Jul 23 22:26:05 +0000 2019,"""“Fearful when others are greedy, and greedy when others are fearful.”
- Warren Buffett 

Friendly reminder 😋🤔.... #BUYtheDIP

#Stocks #Investing #Value $SPY $GLD",Somewhere E of Cowtown
50,1153793067649884165,lioness0817,Tue Jul 23 22:24:38 +0000 2019,"""“Fearful when others are greedy, and greedy when others are fearful.”
- Warren Buffett 

Friendly reminder 😋🤔.... #BUYtheDIP

#Stocks #Investing #Value $SPY $GLD","Vancouver, British Columbia"
51,1153792427766865921,fazl,Tue Jul 23 22:22:05 +0000 2019,@Maggers78 Does $GOLD refer to Barrick/Randgold or to Gold mining inc? Been disappointed with latter for quite a while now..,Planet Earth
